Sample in Buffer,Sample in Window,TRIGGER,nolabel_line188/CSI_BRAM_ENB_1_1,nolabel_line188/csi_gearbox_dma_0_mipi_data[15:0],nolabel_line188/csi_gearbox_dma_0_dbg_fifo_data_ct[11:0],nolabel_line188/CSI_MON_LPD0N_1,nolabel_line188/CSI_MON_LPD0P_1,nolabel_line188/Net[63:0],nolabel_line188/Net1,nolabel_line188/csi_gearbox_dma_0_s00_axis_tready,nolabel_line188/CSI_BRAM_ENB_1,nolabel_line188/CSI_MON_EM_MIPI_START_FRAME_1,nolabel_line188/CSI_MON_EM_MIPI_START_LINES_1,nolabel_line188/CSI_MON_EM_MIPI_END_FRAME_1,nolabel_line188/CSI_MON_EM_MIPI_DONE_1,nolabel_line188/CSI_MON_EM_MIPI_STOP_1,nolabel_line188/CSI_MON_LINE_COUNT_1[5:0],nolabel_line188/csi_gearbox_dma_0_mipi_read_valid,nolabel_line188/CSI_MON_LINE_BYTE_COUNT_1[20:0],nolabel_line188/CSI_CTRL_STATE_DBG_1[5:0],nolabel_line188/CSI_MON_MIPI_BUSY_DBG_1,nolabel_line188/CSI_MON_MIPI_DONE_DBG_1,nolabel_line188/CSI_MON_MIPI_INIT_SHORT_DBG_1,nolabel_line188/CSI_MON_MIPI_INIT_LONG_DBG_1,nolabel_line188/CSI_MON_MIPI_INIT_IDLE_DBG_1,nolabel_line188/CSI_MON_MIPI_DEBUG_TX_SIZE_1[15:0],nolabel_line188/CSI_MON_MIPI_DEBUG_STATE_1[5:0],nolabel_line188/CSI_MON_MIPI_DEBUG_STATE_TIMER_1[15:0],nolabel_line188/CSI_MON_MIPI_DEBUG_STATE_TIMER2_1[15:0],nolabel_line188/CSI_MON_LPCLKN_1,nolabel_line188/CSI_MON_LPCLKP_1
82,82,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
83,83,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
84,84,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
85,85,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
86,86,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
87,87,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
88,88,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
89,89,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
90,90,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
91,91,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
92,92,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
93,93,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
94,94,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
95,95,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
96,96,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
97,97,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
98,98,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
99,99,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
100,100,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
101,101,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
102,102,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
103,103,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
104,104,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
105,105,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
106,106,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
107,107,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
108,108,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
109,109,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
110,110,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
111,111,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
112,112,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
113,113,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
114,114,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
115,115,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
116,116,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
117,117,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
118,118,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
119,119,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
120,120,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
121,121,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
122,122,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
123,123,0,0,0000,000,1,1,0000000000000000,0,0,0,0,0,0,1,0,0f,0,000800,03,0,0,0,0,1,0000,0d,0000,0000,1,1
